Public toilet,Hospital,Park,Shopping mall,Hotel,Restaurant,Petrol Station,Mosque,Others,Name of the Place,Latitude,Longitude,Location,Separate female washroom,Handicapped washroom facility,Kids Feeding corner ,Separate female prayer room,kids and women refreshing area,Others
Yes ,,,,,,,,,Benapol Bus Stand Public T oilet,23.046354,88.90606051,https://maps.app.goo.gl/tiwHBVGsKEuwSpWNA,Yes ,Yes ,,,,
,,,,,,,,Yes ,Shohag Paribahan.Benapol,23.04476156,88.89982557,https://maps.app.goo.gl/Zxz4Giv1WAGW38ic7,,,,,,
Yes ,,,,,,,,,Benapol Rent A Car Stand.Benapol,23.04431349,88.89936227,https://maps.app.goo.gl/AVcvFqmjMTgE6p8W8,Yes ,Yes ,,,,
Yes ,,,,,,,,,Benapol Bus Terminal Public T oilet,23.03938199,88.88613456,https://maps.app.goo.gl/RvGVwRCSg33j1ios5,Yes ,Yes ,,,,
,,,Yes,,,,,,Benapol diagnostic center.Benapol,23.04481214,88.90307318,https://maps.app.goo.gl/RgdBe28ykDsMs4kGA,Yes ,,Yes,,,
,Yes ,,,,,,,,Rahman Chamber ,23.04467248,88.90123497,https://maps.app.goo.gl/GySX423QLztrEH7b8,Yes ,,,Yes,,
,Yes ,,,,,,,,Baitul Aman Jame Mosque ,23.04106115,88.89025378,https://maps.app.goo.gl/NcppMK2WxjE49NvZ8,,,,,,
,,,,,,,,Yes ,Green Line Counter.Benapol,23.03964791,88.88578958,https://maps.app.goo.gl/dJrWgNAsfAqhZQzM6,,,,,,
,,Yes ,,,,,,,Binodia Family Park.Jahore Sadar,23.21739324,89.17464677,https://maps.app.goo.gl/nFc8uNn4G9GgcKpC6,Yes,,,,Yes ,
Yes ,,,,,,,,,Palbari Mor Bus stop,23.18038882,89.1943346,https://maps.app.goo.gl/gMNDJVv8M9gYcqoE8,,,,,,
,,,,,,,Yes,,Churamonkati n Jame Mosque,23.2187765,89.16418646,https://maps.app.goo.gl/CwqbfVFEsQBKnxZk7,,,,Yes,,
Yes ,,,,,,,,,Sheikh Rasel Chattar .Jashore Sadar,23.16518952,89.21161906,https://maps.app.goo.gl/jKnDxAiXAdCPR6jdA,,,,,,
,Yes ,,,,,,,,The Dental Surgery.Palbari,23.18179104,89.19406824,https://maps.app.goo.gl/cpMDNTzZSL8bip2z5,,,,,,
,,,,,,Yes,,,Jashore Filling Station,23.21160554,89.17110629,https://maps.app.goo.gl/Urgtc1GhXU8nnKcR7,Yes,,,,,
,,,,,,Yes,,,Shahidul Filling Station,23.20580656,89.17251373,https://maps.app.goo.gl/3jSNSUSHUPwy3SYE7,Yes,,,,Yes,
Yes ,,,,,,,,,Khairtola Bazar .Sadar .Jashore,23.18968051,89.18441054,https://maps.app.goo.gl/6Figw2r68Auhv9zB6,,,,,,Yes 
,Yes ,,,,,,,,Kaligang Bazar Road .Jhenaidha ,23.92411131,90.57000801,https://maps.app.goo.gl/muXeWfZLkPmEM7bF8,Yes ,,,,Yes ,
Yes ,,,,,,,,,Dulal Mondia Bazar.Kaliganj.Jenaidha,23.38383923,89.13812349,https://maps.app.goo.gl/LjmCZhcibaoZH9627,,,,,,
,,,,,,,Yes,,Dulal Mondia Baza Mosque r.Kaliganj.Jenaidha,23.38095153,89.13828801,https://maps.app.goo.gl/o3kDzpq1aRbJvRQE8,,,,,,
,,,,,,,Yes,,Bus Stand.Kaliganj.Jhenaidha,23.57137954,89.14815869,https://maps.app.goo.gl/jMsGYfx2vRqVU4JS6,,,,,,
Yes ,,,,,,,,,Baro Bazar Bus Stop.Kaliganj,23.42713064,89.14025997,https://maps.app.goo.gl/a13XEbVKT4adRmP4A,,,,,,
,,,,,,,Yes ,,Baro Bazar Bus Stop Mosque .Kaliganj,23.30265949,89.15303465,https://maps.app.goo.gl/TaNTBmwZbJ6nq1cj8,,,,,,
Yes ,,,,,,,,,Churanmonkathi Bus Stop.Sadar.Jashore,23.21832542,89.16494637,https://maps.app.goo.gl/2Mp1hYSc9H73gnNw5,,,,,,
,,,,,,,Yes ,,Hat Baro Bazar Mosque.Kaliganj,23.31133446,89.14912018,https://maps.app.goo.gl/aP1dV9BZ7C3HtwtF8,,,,,,
Yes ,,,,,,,,,Barinagar Bazar Public Toilet.jashore,23.25213303,89.165939,https://maps.app.goo.gl/NwitVsQHkRMNZUsM7,Yes ,,,,,
,,,,,,Yes ,,,   Hat Barobazar  petrol station .Jheanaidha ,23.31295331,89.14831624,https://maps.app.goo.gl/QksNhbcHYWCp9PPo8,,,,,,
Yes ,,,,,,,,,Barobazar Bus Stop.Kaliganj,23.30432836,89.1527795,https://maps.app.goo.gl/L8dKoiapg7vQMAdXA,,,,,,
,,,,,,,Yes ,,Rogunathpur bazar bus stop mosque.kaliganj,23.18353472,88.99012605,https://maps.app.goo.gl/vModmbeLAxDrYWMMA,,,,,,
,,,,,,,Yes ,,Katchandpur road. Notun bazar.kaliganj,23.4012985,89.13627096,https://maps.app.goo.gl/MxXQDMKSN6mutK9c8,,,,,,
Yes ,,,,,,,,,Kaliganj Bus terminal public toilet ,22.46226874,89.0323247,https://maps.app.goo.gl/fDNY8is4CcgVJQhr7,Yes ,,,,,
Yes ,,,,,,,,,Palbari bus station .jeshore,23.17982186,89.19445173,https://maps.app.goo.gl/RWMQuWC1Yb17iw15A,,,,,,
Yes ,,,,,,,,,Central bus terminal .Jhenaidha,23.54292183,89.19109957,https://maps.app.goo.gl/7MZUTQ5h9MnWetp69,Yes ,,,,Yes ,
,,,,Yes ,,,,,Hotel Day light .Jhenaidha,23.54250129,89.19083544,https://maps.app.goo.gl/TXD7bTCkjgKygukp7,,,,,,
,Yes ,,,,,,,,Jhenaidha eye hosopital ,23.54235872,89.1911035,https://maps.app.goo.gl/XuZZ4pBN1JdM6avZ7,,,Yes,Yes,Yes,
,Yes ,,,,,,,,Shishu Hospital .Jhenaidha,23.54164503,89.19238486,https://maps.app.goo.gl/fWXgc13RxPtTuwGWA,,,Yes,Yes,Yes,
Yes ,,,,,,,Yes ,,As sunnah trust mosque .Jhenaidha,23.54326128,89.18887077,https://maps.app.goo.gl/iSEzcQUTTbXV1oXy5,,,,,,
,Yes ,,,,,,,,Kachabazar .sadar.Jhenaidha,23.55036149,89.16723571,https://maps.app.goo.gl/XWaW5uKokXkAZJoYA,Yes ,,,,,
,,,,,,,,,Crescent Diagnostic Centre.Jhenaidha,23.54182738,89.17219312,https://maps.app.goo.gl/onZgXwHUXPV4G1WE9,Yes ,Yes,Yes,Yes,,
,,,,,,,Yes ,,Rooad and highway division mosque.Jhenaidha,23.54129621,89.17221457,https://maps.app.goo.gl/oBQ8ULejY8fUG2Vh9,,,,,,
,,,,,,,Yes ,,Ahle Hadis Jame Mosque .Jhenaidha,23.54470427,89.16960747,https://maps.app.goo.gl/E53hD7ZaCCBsyXsL6,,,,,,
,Yes,,,,,,,,Shamima Clinic .Sadar.Jhenaidha,23.54578723,89.16649433,https://maps.app.goo.gl/rDJJJSf9Zb5HtyZf8,,Yes ,Yes ,Yes ,,
,Yes,,,,,,,,Green Life hospital and diagnostic centre .Chuadanga,23.63594486,88.84819852,https://maps.app.goo.gl/qZisVyLLzriHQZeo6,Yes,Yes,Yes,Yes,Yes,
Yes ,,,,,,,,,Chuadanga Bus Stand public toilet,23.63728096,88.85959139,https://maps.app.goo.gl/TjsAuyCQdNtBdhKA6,Yes ,,,,,
,,,,,,,Yes ,,Central jame mosque.payra chattar,23.55040204,89.17245987,https://maps.app.goo.gl/6HL7t1pXXKMkF7pm6,,,,,,
,,,,,,,,Yes,Jhenaidha Sadar Thana,23.54663693,89.17401307,https://maps.app.goo.gl/Uxn3zaEx8V5Wt94h8,Yes ,Yes ,Yes ,,,
,,,,,,,Yes ,,Old collectorate  Mosque.Jhenaidha,23.54455665,89.17556877,https://maps.app.goo.gl/mjYU8EJSyUdy6uRV9,,,,,,
,,,,,,,Yes,,Kanchan nagar jame mosque.jhenaidha,23.54781551,89.18200042,https://maps.app.goo.gl/13DGkUYagHqhgmDy9,,,,,,
,Yes,,,,,,,,Jhenaidha Diabetic Hospital,23.53476247,89.16592209,https://maps.app.goo.gl/hUjaQjbFwKgSPmGQA,Yes,Yes,Yes,Yes,,
,,,,,,Yes ,,,Tamim Filling Station.Jhenaidha,23.51339208,89.16714631,https://maps.app.goo.gl/QqxhgizraNsL1Yzj8,Yes,,,,,
,,,,,,Yes ,,,Afroza Ali LPG filling station.Jhenaidha,23.50942335,89.16517608,https://maps.app.goo.gl/j6ZQVWAjLGUDcQPdA,,,,,,
Yes ,,,,,,,,,Feri Ghat.Noapara.Jashore,23.03623359,89.39474895,https://maps.app.goo.gl/BETtiNkm54LdX4Aj7,Yes,,,,,
,,,,,,,Yes ,,Noapara Jame Mosque.Jashore,23.03052588,89.39888133,https://maps.app.goo.gl/x4yGira8P2o1YZjD6,Yes,,,,,
,,,,,,,,Yes ,Baghe Jannat Hefozkhana.Khulna,23.02288979,89.40568532,https://maps.app.goo.gl/4Bguowhu2TFv3ewaA,,,,,,
,,,,,,,,Yes ,kalibari Market Mondir.Khulna,23.16555466,89.21270731,https://maps.app.goo.gl/FhaQaguMgB9PjjdV8,Yes,Yes,,,Yes ,
,,,,,,,Yes ,,Noorbug bus stand.Khulna,23.03086609,89.39843203,https://maps.app.goo.gl/Jzbw5r975L4dwfBG9,,,,,,
,,,,,,,,Yes ,Nowapara Pirsaheb Mazar,23.02561546,89.40305088,https://maps.app.goo.gl/7E8gr2EhKBp7yejN9,,,,,,
,,,Yes ,,,,,,LB Tower.Noapara,23.02843442,89.40077108,https://maps.app.goo.gl/6yUfkrjExqu5F1TGA,Yes,,,,,
,,,,,,,,,Razghat Carpating Jute Mill,23.00993558,89.42222589,https://maps.app.goo.gl/8BY5A3cRoD86boHb9,,,,,,
,,,Yes,,,,,,Hazi Idris Ali Super Market,23.02978004,89.39927821,https://maps.app.goo.gl/akXFU8AcnhL6AQbv5,Yes,,,Yes,Yes,
,,,,,,,,,Rajghat Jame Mosque.Jashore,23.00341951,89.42467488,https://maps.app.goo.gl/7peRnAK2MotYDR4Q8,,,,,,
,Yes ,,,,,,,,L.B. Hospital.Noapara,23.0284313,89.40111399,https://maps.app.goo.gl/neNX25WkH9ybnNxW7,,,,,,
,,,,,,,Yes,,Sahi Masjid.Noapara ,23.02637169,89.40281294,https://maps.app.goo.gl/j8kcW5z2ufjmEiAr8,,,,,,
,,,,,,Yes ,,,Religet Petrol Pump,22.88773937,89.51628308,https://maps.app.goo.gl/GbDQ95jLvvbEtR818,Yes,,,,,
,,,,,,,,Yes ,Janata Bank Khulna,22.82486744,89.55258993,https://maps.app.goo.gl/kvwSFs6PeYLyrjKn6,Yes,,,,,
,Yes,,,,,,,,Khulna Clinic,22.80986542,89.56706979,https://maps.app.goo.gl/XCWkZEZZM3sqY5NS9,Yes,,Yes,Yes,Yes,
,,,,,,,,Yes ,Noapara Mohashoshan Mondir.Khulna,23.04174251,89.38965688,https://maps.app.goo.gl/Hj1oZ5Zoh8LgZQRU9,,,,,,
,Yes ,,,,,,,,Rotary Medical and Hospital.Khulna,22.82639614,89.55011996,https://maps.app.goo.gl/31gSzRZhmusKcBPZ7,Yes ,Yes ,Yes ,Yes ,,
,,,,,,,,Yes ,Noapara Rotary Club,23.02310067,89.40564769,https://maps.app.goo.gl/5DbJFXgLJKKcjZmK9,,,,,,
Yes ,,,,,,,,,Sonadanga Bus Station,22.81629995,89.54179111,https://maps.app.goo.gl/tmSWPHm2kGuUkVLDA,Yes ,,,,,
,,,,,,Yes ,,,Rajghat LPG Filling Station,23.00026848,89.42859794,https://maps.app.goo.gl/AU9WmHDyK38xWVnQ8,,,,,,
